"uid.x","namedLocation.x","domainID.x","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion.x","functionalGroup","dryMass","qaDryMass","remarks.x","measuredBy","uid.y","namedLocation.y","domainID.y","subplotID","decimalLatitude","decimalLongitude","elevation","nlcdClass","plotType","geodeticDatum","coordinateUncertainty","elevationUncertainty","date","samplingProtocolVersion.y","targetTaxaPresent","trapType","trapPlacement","trapSize","remarks.y","recordedBy"
"a31c011b-befc-4fcc-9708-a783a6ff3963","NIWO_062.basePlot.ltr","D13","NIWO","NIWO_062","NIWO_062_050","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO062050.20160616","NEON.LTR.NIWO062050.20160616.SDS","NEON.DOC.001710vE","Seeds",0,"N","no sample to collect","jlinden@field-ops.org","fa7a490c-9937-4d83-8b29-9056fe7c3cc3","NIWO_062.basePlot.ltr","D13",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"469520f9-0325-4834-a363-5f1b2e0a5adf","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO061169.20160616","NEON.LTR.NIWO061169.20160616.OTH","NEON.DOC.001710vE","Other",0.27,"N","","jlinden@field-ops.org","077e9259-ebde-427e-91a8-5d5765c9c3d6","NIWO_061.basePlot.ltr","D13",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84",10.2,0.4,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"a27eac4b-274e-4947-a6d4-ea3fdc3ca757","NIWO_062.basePlot.ltr","D13","NIWO","NIWO_062","NIWO_062_050","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO062050.20160616","NEON.LTR.NIWO062050.20160616.WDY","NEON.DOC.001710vE","Woody material",0.12,"N","","jlinden@field-ops.org","fa7a490c-9937-4d83-8b29-9056fe7c3cc3","NIWO_062.basePlot.ltr","D13",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"deebd5c8-13e3-4255-ad1f-4e4189f3423b","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO064103.20160616","NEON.LTR.NIWO064103.20160616.SDS","NEON.DOC.001710vE","Seeds",0,"N","no sample to collect","jlinden@field-ops.org","8434ddcb-92c2-4ea1-97a7-6f8aaaf6204e","NIWO_064.basePlot.ltr","D13",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"0e8d5650-1705-4d0e-8828-cac18c407bed","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","NIWO_058_101","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO058101.20160616","NEON.LTR.NIWO058101.20160616.NDL","NEON.DOC.001710vE","Needles",1.11,"Y","","jlinden@field-ops.org","cd8f3c8d-084a-4c1b-895c-8f71295c79fd","NIWO_058.basePlot.ltr","D13",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"30170ccc-d922-4592-921d-fbea3e217da1","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","NIWO_058_101","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO058101.20160616","NEON.LTR.NIWO058101.20160616.LVS","NEON.DOC.001710vE","Leaves",0,"N","no sample to collect","jlinden@field-ops.org","cd8f3c8d-084a-4c1b-895c-8f71295c79fd","NIWO_058.basePlot.ltr","D13",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"70378d09-af44-431e-b4f2-0dea80608e02","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","NIWO_047_197","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO047197.20160616","NEON.LTR.NIWO047197.20160616.LVS","NEON.DOC.001710vE","Leaves",0,"N","no sample to collect","jlinden@field-ops.org","c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"d4e54346-c018-45a4-9b4b-5910e70e3922","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","NIWO_047_197","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO047197.20160616","NEON.LTR.NIWO047197.20160616.SDS","NEON.DOC.001710vE","Seeds",0,"N","no sample to collect","jlinden@field-ops.org","c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"619d85f7-4efe-4b18-b2e5-6088270f055a","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","NIWO_047_197","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO047197.20160616","NEON.LTR.NIWO047197.20160616.TWI","NEON.DOC.001710vE","Twigs/branches",0.07,"N","","jlinden@field-ops.org","c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"1359b2d3-faff-4bde-8d18-62f39afc3fa3","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","NIWO_047_197","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO047197.20160616","NEON.LTR.NIWO047197.20160616.WDY","NEON.DOC.001710vE","Woody material",0.02,"N","","jlinden@field-ops.org","c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"65764632-e18c-4864-a085-af548766c062","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","NIWO_047_197","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO047197.20160616","NEON.LTR.NIWO047197.20160616.NDL","NEON.DOC.001710vE","Needles",0.54,"N","","jlinden@field-ops.org","c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"7b020b0d-5929-4328-af0c-f211fc9ba761","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","NIWO_057_081","2016-06-22","2015-09-29","2016-06-16","2016-06-17T17:15Z","2016-06-22T22:25Z","NEON.LTR.NIWO057081.20160616","NEON.LTR.NIWO057081.20160616.TWI","NEON.DOC.001710vE","Twigs/branches",7.36,"Y","","jlinden@field-ops.org","6c40a6f8-9b9c-422c-9333-7cc7969a5350","NIWO_057.basePlot.ltr","D13",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"944dcf65-df90-4c00-bcb3-b769a5e424bd","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","NIWO_057_081","2016-06-22","2015-09-29","2016-06-16","2016-06-17T17:15Z","2016-06-22T22:25Z","NEON.LTR.NIWO057081.20160616","NEON.LTR.NIWO057081.20160616.OTH","NEON.DOC.001710vE","Other",0.28,"N","","jlinden@field-ops.org","6c40a6f8-9b9c-422c-9333-7cc7969a5350","NIWO_057.basePlot.ltr","D13",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"9ca8b946-fa86-4f5f-9eeb-0137c685a03a","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","NIWO_057_081","2016-06-22","2015-09-29","2016-06-16","2016-06-17T17:15Z","2016-06-22T22:25Z","NEON.LTR.NIWO057081.20160616","NEON.LTR.NIWO057081.20160616.NDL","NEON.DOC.001710vE","Needles",20.96,"N","","jlinden@field-ops.org","6c40a6f8-9b9c-422c-9333-7cc7969a5350","NIWO_057.basePlot.ltr","D13",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"e1e34997-2aef-465f-9ce7-e8bec9369790","NIWO_057.basePlot.ltr","D13","NIWO","NIWO_057","NIWO_057_081","2016-06-22","2015-09-29","2016-06-16","2016-06-17T17:15Z","2016-06-22T22:25Z","NEON.LTR.NIWO057081.20160616","NEON.LTR.NIWO057081.20160616.WDY","NEON.DOC.001710vE","Woody material",1.56,"N","","jlinden@field-ops.org","6c40a6f8-9b9c-422c-9333-7cc7969a5350","NIWO_057.basePlot.ltr","D13",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84",10.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"2499c798-ec83-4d3d-8747-9e7f230daac9","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2016-06-22","2015-09-29","2016-06-16","2016-06-16T23:20Z","2016-06-22T22:25Z","NEON.LTR.NIWO064103.20160616","NEON.LTR.NIWO064103.20160616.OTH","NEON.DOC.001710vE","Other",0,"N","no sample to collect","jlinden@field-ops.org","8434ddcb-92c2-4ea1-97a7-6f8aaaf6204e","NIWO_064.basePlot.ltr","D13",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
